AOS.Howard.Moore.Name	Male_Song_Delta_Time_(s)	Male_Song_Peak_Freq_(Hz)	Male_Song_Avg_Entropy_(bits)	Male_Song_n.notes	Male_note_avg_duration_(s)	Male_Song_Pace_(n/s)
Thamnophilus_schistaceus	2.2898125	1655.1375	3.1566875	7.916666667	0.18666112	3.288715559
Thamnophilus_stictocephalus	3.199375	1616.5875	4.0785625	21.625	0.056768631	6.563023674
Thamnophilus_sticturus	2.06575	2016.966667	4.002166667	19.66666667	0.053905385	9.27838389
Thamnophilus_tenuepunctatus	2.6298125	1726.38125	3.7250625	18.5	0.06869586	6.832957049
Thamnophilus_torquatus	3.4959375	2794.154167	3.924729167	17.3125	0.143290304	4.865558183
Thamnophilus_unicolor	2.091125	1864.925	3.788833333	4.583333333	0.204951389	1.899789771
Thamnophilus_zarumae	2.1310625	1849.175	4.09275	20.25	0.05868994	9.288870339
Willisornis_poecilinotus	5.331375	3229.514583	3.233833333	8.375	0.528010051	1.535381983
Willisornis_vidua	5.067055556	3347.65	3.104722222	8.722222222	0.451014308	1.672910143
Xenornis_setifrons	2.711416667	3816.754167	3.041625	9	0.213141383	3.20220916
